기관명,자치구,주소원문,주소정제,latitude,longitude,matched_address,주소재시도
관악정다운의료복지사회적협동조합,관악구,"서울 관악구 신림로 206 								2층",서울특별시 관악구 신림로 206,37.4756288,126.9374469,서울 관악구 신림로 206,서울특별시 관악구 신림로 206
광진구청복지국 어르신복지과,광진구,서울특별시 광진구 자양로 117,서울특별시 광진구 자양로 117,37.53853161,127.0819098,서울 광진구 자양로 117,서울특별시 광진구 자양로 117
광진노인종합복지관,광진구,서울특별시 광진구 군자로 88,서울특별시 광진구 군자로 88,37.55109825,127.0715961,서울 광진구 군자로 88,서울특별시 광진구 군자로 88
구로구청 복지지원국 어르신복지과,구로구,"서울특별시 구로구 가마산로 245 (구로동) 								어르신청소년과(신관5층)",서울특별시 구로구 가마산로 245,37.49550546,126.8882924,서울 구로구 가마산로 245,서울특별시 구로구 가마산로 245
구로노인종합복지관,구로구,서울특별시 구로구 새말로16길 7 (구로동),서울특별시 구로구 새말로16길 7,37.50524075,126.8906167,서울 구로구 새말로16길 7,서울특별시 구로구 새말로16길 7
구로종합사회복지관,구로구,서울 구로구 디지털로31길 93 구로종합사회복지관,서울특별시 구로구 디지털로31길 93,37.48682339,126.8908274,서울 구로구 디지털로31길 93,서울특별시 구로구 디지털로31길 93
구립신내노인종합복지관,중랑구,"서울특별시 중랑구 신내로15길 175 (신내동) 								3층 복지과 사무실",서울특별시 중랑구 신내로15길 175,37.61481251,127.0878892,서울 중랑구 신내로15길 175,서울특별시 중랑구 신내로15길 175
구립신사노인복지관,은평구,"서울특별시 은평구 증산로15길 47 (신사동) 								신사노인복지관 2층 사무실",서울특별시 은평구 증산로15길 47,37.59025708,126.9080583,서울 은평구 증산로15길 47,서울특별시 은평구 증산로15길 47
구립영등포노인복지센터,영등포구,"서울 영등포구 선유서로 34길 10 								3층",서울특별시 영등포구 선유서로 34길 10,37.5268695,126.8874353,서울 영등포구 선유서로34길 10,서울특별시 영등포구 선유서로 34길 10
구세군강북종합사회복지관,강북구,"서울 강북구 인수봉로  								20가길 24",서울특별시 강북구 인수봉로20가길 24,37.62568029,127.013396,서울 강북구 인수봉로20가길 24,서울특별시 강북구 인수봉로20가길 24
궁동종합복지관,구로구,"서울특별시 구로구 오리로22길 5 (궁동) 								2층 사무실",서울특별시 구로구 오리로22길 5,37.49913459,126.8295642,서울 구로구 오리로22길 5,서울특별시 구로구 오리로22길 5
금천노인종합복지관,금천구,서울특별시 금천구 시흥대로51길 93-32 (시흥동),서울특별시 금천구 시흥대로51길 93-32,37.45013432,126.8977638,서울 금천구 시흥대로51길 93-32,서울특별시 금천구 시흥대로51길 93-32
금천누리종합사회복지관,금천구,"서울특별시 금천구 가산동 가산로 129 								3층",서울특별시 금천구 가산로 129,37.47689182,126.8917817,서울 금천구 가산로 129,서울특별시 금천구 가산로 129
금천호암노인종합복지관,금천구,서울특별시 금천구 독산로72길 86-5 (독산동),서울특별시 금천구 독산로72길 86-5,37.46951291,126.9064492,서울 금천구 독산로72길 86-5,서울특별시 금천구 독산로72길 86-5
길꽃어린이도서관,강서구,서울특별시 강서구 금낭화로 24길 5,서울특별시 강서구 금낭화로 24길 5,37.57871896,126.8136575,서울 강서구 금낭화로24길 5,서울특별시 강서구 금낭화로 24길 5
길음종합사회복지관,성북구,서울특별시 성북구 삼양로2길 55 (길음동),서울특별시 성북구 삼양로2길 55,37.60672275,127.0267933,서울 성북구 삼양로2길 55,서울특별시 성북구 삼양로2길 55
꿈의숲종합사회복지관,강북구,"서울특별시 강북구 오현로 208(번동, 번동주공아파트) 								302동 1층",서울특별시 강북구 오현로 208,37.63013826,127.0414162,서울 강북구 오현로 208,서울특별시 강북구 오현로 208
노원1종합사회복지관,노원구,서울 노원구 월계로 372 사슴아파트,서울특별시 노원구 월계로 372,37.62924721,127.0596641,서울 노원구 월계로 372,서울특별시 노원구 월계로 372
노원구청 주민복지국 고령사회정책과,노원구,서울특별시 노원구 노해로 437 (상계동),서울특별시 노원구 노해로 437,37.65452284,127.0562683,서울 노원구 노해로 437,서울특별시 노원구 노해로 437
노원노인종합복지관,노원구,"서울특별시 노원구 노원로16길 15 (하계동, 중계주공9단지아파트) 								시립노원노인종합복지관",서울특별시 노원구 노원로16길 15,37.64344507,127.0733372,서울 노원구 노원로16길 15,서울특별시 노원구 노원로16길 15
노원시니어클럽,노원구,"서울특별시 노원구 수락산로 214 (상계동) 								4층",서울특별시 노원구 수락산로 214,37.6710659,127.0548199,서울 노원구 수락산로 214,서울특별시 노원구 수락산로 214
능인종합사회복지관,강남구,서울특별시 강남구 양재대로 340,서울특별시 강남구 양재대로 340,37.47167795,127.0525917,서울 강남구 양재대로 340,서울특별시 강남구 양재대로 340
다가치포럼사회적협동조합,종로구,"서울특별시 종로구 혜화로 13(명륜1가) 								302호",서울특별시 종로구 혜화로 13,37.58669684,126.9999278,서울 종로구 혜화로 13,서울특별시 종로구 혜화로 13
대방종합사회복지관,동작구,"서울특별시 동작구 여의대방로44길 47 (대방동, 주공아파트) 								대방종합사회복지관",서울특별시 동작구 여의대방로44길 47,37.50992351,126.9304186,서울 동작구 여의대방로44길 47,서울특별시 동작구 여의대방로44길 47
대조노인복지관,은평구,"서울특별시 은평구 역말로9길 27(대조동) 								 대조노인복지관",서울특별시 은평구 역말로9길 27,37.61343759,126.9219681,서울 은평구 역말로9길 27,서울특별시 은평구 역말로9길 27
대청종합사회복지관,강남구,"서울특별시 강남구 양재대로55길 10 (일원동, 수서1단지 에스에이치빌)",서울특별시 강남구 양재대로55길 10,37.49315404,127.0909914,서울 강남구 양재대로55길 10,서울특별시 강남구 양재대로55길 10
대한노인회 금천구지회,금천구,"서울특별시 금천구 독산로54길 279(독산동) 								독산어르신체육센터 2층",서울특별시 금천구 독산로54길 279,37.47446845,126.9057575,서울 금천구 독산로54길 279,서울특별시 금천구 독산로54길 279
대한노인회 노원구지회,노원구,"서울특별시 노원구 동일로 1229 (중계동) 								201호",서울특별시 노원구 동일로 1229,37.6389605,127.0663451,서울 노원구 동일로 1229,서울특별시 노원구 동일로 1229
대한노인회 서울 강동구지회,강동구,"서울 강동구 양재대로 1342 								강동숨; 터 2층",서울특별시 강동구 양재대로 1342,37.52588693,127.1364362,서울 강동구 양재대로 1342,서울특별시 강동구 양재대로 1342
대한노인회 서울 강북구지회,강북구,서울특별시 강북구 삼양로 280-1 (미아동),서울특별시 강북구 삼양로 280-1,37.62850396,127.018263,서울 강북구 삼양로 280-1,서울특별시 강북구 삼양로 280-1
대한노인회 서울 관악구지회,관악구,"서울특별시 관악구 관악로5길 95, 관악구민회관 								1층",서울특별시 관악구 관악로5길 95,37.47709576,126.9512645,서울 관악구 관악로5길 95,서울특별시 관악구 관악로5길 95
대한노인회 서울 광진구지회,광진구,"서울특별시 광진구 광장로 62 (광장동) 								노인회관",서울특별시 광진구 광장로 62,37.54718297,127.1040434,서울 광진구 광장로 62,서울특별시 광진구 광장로 62
대한노인회 서울 구로구지회,구로구,"서울특별시 구로구 새말로18길 39 (구로동) 								1층 대한노인회구로구지회",서울특별시 구로구 새말로18길 39,37.50470659,126.8928315,서울 구로구 새말로18길 39,서울특별시 구로구 새말로18길 39
대한노인회 서울 도봉구지회,도봉구,"서울특별시 도봉구 마들로 536(창동) 								도봉통합복지센터 4층",서울특별시 도봉구 마들로 536,37.65986054,127.0508795,서울 도봉구 마들로 536,서울특별시 도봉구 마들로 536
대한노인회 서울 동대문구지회,동대문구,"서울특별시 동대문구 사가정로 98 (전농동) 								2층",서울특별시 동대문구 사가정로 98,37.57637081,127.0563369,서울 동대문구 사가정로 98,서울특별시 동대문구 사가정로 98
대한노인회 서울 동작구지회,동작구,서울특별시 동작구 여의대방로24가길 2 (대방동),서울특별시 동작구 여의대방로24가길 2,37.49821404,126.9212252,서울 동작구 여의대방로24가길 2,서울특별시 동작구 여의대방로24가길 2
대한노인회 서울 마포구지회,마포구,"서울특별시 마포구 토정로31길 31 (용강동) 								3층",서울특별시 마포구 토정로31길 31,37.54231555,126.9427071,서울 마포구 토정로31길 31,서울특별시 마포구 토정로31길 31
대한노인회 서울 서대문구지회,서대문구,"서울특별시 서대문구 통일로 484 (홍제동) 								공유캠퍼스 2층",서울특별시 서대문구 통일로 484,37.59157433,126.943076,서울 서대문구 통일로 484,서울특별시 서대문구 통일로 484
대한노인회 서울 서초구지회,서초구,서울특별시 서초구 서초대로 54길 45,서울특별시 서초구 서초대로 54길 45,37.49232427,127.016811,서울 서초구 서초대로54길 45,서울특별시 서초구 서초대로 54길 45
대한노인회 서울 성동구지회,성동구,서울특별시 성동구 무학로6길 9 (홍익동),서울특별시 성동구 무학로6길 9,37.56548585,127.031127,서울 성동구 무학로6길 9,서울특별시 성동구 무학로6길 9
대한노인회 서울 송파구지회,송파구,"서울특별시 송파구 송파대로38길 1 (송파동) 								2층",서울특별시 송파구 송파대로38길 1,37.50071646,127.1118708,서울 송파구 송파대로38길 1,서울특별시 송파구 송파대로38길 1
대한노인회 서울 양천구지회,양천구,서울특별시 양천구 신목로 46 (신정동),서울특별시 양천구 신목로 46,37.51940241,126.8731784,서울 양천구 신목로 46,서울특별시 양천구 신목로 46
대한노인회 서울 영등포구지회,영등포구,"서울특별시 영등포구 영등포로42길 21-9 (영등포동3가) 								대한노인회 2층",서울특별시 영등포구 영등포로42길 21-9,37.5177271,126.9072102,서울 영등포구 영등포로42길 21-9,서울특별시 영등포구 영등포로42길 21-9
대한노인회 서울 용산구지회,용산구,"서울특별시 용산구 임정로 58 (효창동) 								3층 (사)대한노인회 용산구지회",서울특별시 용산구 임정로 58,37.54481788,126.9586484,서울 용산구 임정로 58,서울특별시 용산구 임정로 58
대한노인회 서울 은평구지회,은평구,"서울특별시 은평구 통일로 767(대조동, 베르디움STAY1) 								 B118호",서울특별시 은평구 통일로 767,37.6139965,126.9264997,서울 은평구 통일로 767,서울특별시 은평구 통일로 767
대한노인회 서울 종로구지회,종로구,"서울특별시 종로구 대학로3길 14 (효제동) 								2층",서울특별시 종로구 대학로3길 14,37.57415626,127.0014475,서울 종로구 대학로3길 14,서울특별시 종로구 대학로3길 14
대한노인회 서울 중구지회,중구,서울특별시 중구 퇴계로 460,서울특별시 중구 퇴계로 460,37.56509826,127.0227631,서울 중구 퇴계로 460,서울특별시 중구 퇴계로 460
대한노인회 서울시 연합회,용산구,서울시 용산구 임정로 58(효창동 255번지) 대한노인회서울시연합회2층,서울특별시 용산구 임정로 58,37.54481788,126.9586484,서울 용산구 임정로 58,서울특별시 용산구 임정로 58
대한민국동작 주식회사,동작구,"서울특별시 동작구 노량진로 140 (노량진동) 								2층",서울특별시 동작구 노량진로 140,37.51275688,126.9417006,서울 동작구 노량진로 140,서울특별시 동작구 노량진로 140
대한은퇴자 협회,광진구,"서울시 광진구 아차산로 589번지 								지하",서울특별시 광진구 아차산로 589,37.54598015,127.1047409,서울 광진구 아차산로 589,서울특별시 광진구 아차산로 589
도봉노인종합복지관,도봉구,서울특별시 도봉구 도당로2길 12-13 (쌍문동),서울특별시 도봉구 도당로2길 12-13,37.65892811,127.0359567,서울 도봉구 도당로2길 12-13,서울특별시 도봉구 도당로2길 12-13
도봉동어르신복지관,도봉구,서울특별시 도봉구 도봉로169가길 52 (도봉동),서울특별시 도봉구 도봉로169가길 52,37.68214542,127.0435654,서울 도봉구 도봉로169가길 52,서울특별시 도봉구 도봉로169가길 52
도시철도협동조합(광진구),광진구,서울 광진구 천호대로 589 4층 401호,서울특별시 광진구 천호대로 589,37.55599389,127.0834258,서울 광진구 천호대로 589,서울특별시 광진구 천호대로 589
동대문구청,동대문구,서울특별시 동대문구 천호대로 145 (용두동),서울특별시 동대문구 천호대로 145,37.57439172,127.0398966,서울 동대문구 천호대로 145,서울특별시 동대문구 천호대로 145
동대문종합사회복지관,동대문구,서울특별시 동대문구 약령시로5길 22 (제기동),서울특별시 동대문구 약령시로5길 22,37.58402099,127.034197,서울 동대문구 약령시로5길 22,서울특별시 동대문구 약령시로5길 22
동백꽃노인종합복지관,동대문구,서울특별시 동대문구 전농로30길 3 (전농동),서울특별시 동대문구 전농로30길 3,37.5828684,127.054652,서울 동대문구 전농로30길 3,서울특별시 동대문구 전농로30길 3
동작50+센터,동작구,"서울특별시 동작구 노량진로 140 (노량진동) 								메가스터디타워 2층 동작50플러스센터",서울특별시 동작구 노량진로 140,37.51275688,126.9417006,서울 동작구 노량진로 140,서울특별시 동작구 노량진로 140
동작구청 일자리정책과,동작구,서울특별시 동작구 장승배기로 70 (상도동),서울특별시 동작구 장승배기로 70,37.50423743,126.9402697,서울 동작구 장승배기로 70,서울특별시 동작구 장승배기로 70
동작이수사회복지관,동작구,서울특별시 동작구 동작대로35차길 7 (사당동),서울특별시 동작구 동작대로35차길 7,37.49312068,126.9768759,서울 동작구 동작대로35차길 7,서울특별시 동작구 동작대로35차길 7
등촌7종합사회복지관,강서구,"서울시 강서구 공항대로43길 104 								등촌7종합사회복지관",서울특별시 강서구 공항대로43길 104,37.56023933,126.8516942,서울 강서구 공항대로43길 104,서울특별시 강서구 공항대로43길 104
마들종합사회복지관,노원구,"서울특별시 노원구 동일로210길 22 (중계동, 중계주공1단지아파트)",서울특별시 노원구 동일로210길 22,37.64690781,127.0652163,서울 노원구 동일로210길 22,서울특별시 노원구 동일로210길 22
마천종합사회복지관,송파구,서울특별시 송파구 마천로 251 (마천동),서울특별시 송파구 마천로 251,37.49901304,127.145367,서울 송파구 마천로 251,서울특별시 송파구 마천로 251
마포구고용복지지원센터,마포구,"서울특별시 마포구 매봉산로 18(상암동) 								1,2층",서울특별시 마포구 매봉산로 18,37.57417444,126.8899465,서울 마포구 매봉산로 18,서울특별시 마포구 매봉산로 18
마포구청 복지동행국 어르신동행과,마포구,서울특별시 마포구 월드컵로 212 (성산동),서울특별시 마포구 월드컵로 212,37.56631284,126.9016157,서울 마포구 월드컵로 212,서울특별시 마포구 월드컵로 212
마포보사재가노인복지기관,마포구,"서울특별시 마포구 성미산로29안길 30(연남동) 								2층 (연남동)",서울특별시 마포구 성미산로29안길 30,37.56558779,126.923762,서울 마포구 성미산로29안길 30,서울특별시 마포구 성미산로29안길 30
마포서부재가노인복지기관,마포구,"서울특별시 마포구 마포대로11길 44-81 (아현동) 								2층",서울특별시 마포구 마포대로11길 44-81,37.55224172,126.9512368,서울 마포구 마포대로11길 44-81,서울특별시 마포구 마포대로11길 44-81
마포지역아동센터연합회,마포구,"서울 마포구 대흥로20길 16 								격암빌딩 2층",서울특별시 마포구 대흥로20길 16,37.55012213,126.944908,서울 마포구 대흥로20길 16,서울특별시 마포구 대흥로20길 16
면목종합사회복지관,중랑구,서울 중랑구 용마산로 228 면목아파트 단지 내,서울특별시 중랑구 용마산로 228,37.57416613,127.0883022,서울 중랑구 용마산로 228,서울특별시 중랑구 용마산로 228
목동어르신복지관,양천구,"서울특별시 양천구 목동중앙로3길 21 								목동실버복지문화센터 (목동)",서울특별시 양천구 목동중앙로3길 21,37.53646455,126.8692679,서울 양천구 목동중앙로3길 21,서울특별시 양천구 목동중앙로3길 21
목동종합사회복지관,양천구,"서울특별시 양천구 목동중앙북로8길 104 (목동) 								목동종합사회복지관 4층 사무실",서울특별시 양천구 목동중앙북로8길 104,37.54424009,126.8663764,서울 양천구 목동중앙북로8길 104,서울특별시 양천구 목동중앙북로8길 104
문정노인종합복지관,송파구,서울특별시 송파구 송이로37길 11 (문정동),서울특별시 송파구 송이로37길 11,37.48749799,127.1344921,서울 송파구 송이로37길 11,서울특별시 송파구 송이로37길 11
방학동어르신복지관,도봉구,서울특별시 도봉구 시루봉로15라길 59-9 (방학동),서울특별시 도봉구 시루봉로15라길 59-9,37.67057374,127.0322022,서울 도봉구 시루봉로15라길 59-9,서울특별시 도봉구 시루봉로15라길 59-9
번오마을종합사회복지관,강북구,"서울특별시 강북구 한천로115길 20 (번동, 번동주공5단지아파트) 								번오마을종합사회복지관",서울특별시 강북구 한천로115길 20,37.63368532,127.0345341,서울 강북구 한천로115길 20,서울특별시 강북구 한천로115길 20
북가좌노인복지관,서대문구,서울특별시 서대문구 증가로20길 43 (북가좌동),서울특별시 서대문구 증가로20길 43,37.58120197,126.9179084,서울 서대문구 증가로20길 43,서울특별시 서대문구 증가로20길 43
북부종합사회복지관,노원구,"서울특별시 노원구 동일로245길 56 (상계동, 북부종합사회복지관)",서울특별시 노원구 동일로245길 56,37.67970594,127.052411,서울 노원구 동일로245길 56,서울특별시 노원구 동일로245길 56
북서울종합사회복지관,강북구,"서울특별시 강북구 한천로105길 24(번동, 번동2단지주공아파트)",서울특별시 강북구 한천로105길 24,37.62760841,127.0448051,서울 강북구 한천로105길 24,서울특별시 강북구 한천로105길 24
사단법인 여성중앙회 종로여성인력개발센터,종로구,서울특별시 종로구 대학로11길 23 (명륜4가),서울특별시 종로구 대학로11길 23,37.5820588,127.0004181,서울 종로구 대학로11길 23,서울특별시 종로구 대학로11길 23
사단법인 한국고용복지센터,성북구,서울특별시 성북구 보문로 38 (보문동7가),서울특별시 성북구 보문로 38,37.57909121,127.0230125,서울 성북구 보문로 38,서울특별시 성북구 보문로 38
